Crawler Reading page 0 2.4141931533813s
Crawler RPP:20 TOTAL:515 PAGES:26 
Crawler Reading page 1 1.1335971355438s
Crawler Reading page 2 1.2057960033417s
Crawler Reading page 3 2.2460460662842s
Crawler Reading page 4 1.6412670612335s
Crawler Reading page 5 4.0071039199829s
Crawler Reading page 6 4.1690027713776s
Crawler Reading page 7 2.6461408138275s
Crawler Reading page 8 2.7039639949799s
Crawler Reading page 9 1.7513380050659s
Crawler Reading page 10 1.5221471786499s
Crawler Reading page 11 1.6933250427246s
Crawler Reading page 12 1.6824760437012s
Crawler Reading page 13 1.6222319602966s
Crawler Reading page 14 1.7942349910736s
Crawler Reading page 15 3.1349759101868s
Crawler Reading page 16 3.3469181060791s
Crawler Reading page 17 3.0100040435791s
Crawler Reading page 18 3.446230173111s
Crawler Reading page 19 4.907702922821s
Crawler Reading page 20 3.5775520801544s
Crawler Reading page 21 3.6322820186615s
Crawler Reading page 22 3.8684179782867s
Crawler Reading page 23 4.813768863678s
Crawler Reading page 24 5.9512538909912s
Crawler Reading page 25 3.3027651309967s
Crawler total records:511 
N,url1,title,signature,title1,image1,image1_alt,brand1,price1,price2
12,"/products/MP00950000000164/PlayStation+4+PRO+1TB+Negro"," PRO 1TB Negro","21d0c3fabf8dcfed5ae17a91bfc4f4a8","pro 1tb negro","https://www.exito.com/images/products/164/MP00950000000164/SKUMP00950000164_md_a.jpg","PlayStation 4 PRO 1TB Negro|exito.com","SONY","1499900.0","1999900.0"
13,"/products/MP00950000000215/Videojuego+Battlefield+4+para+PS4","Battlefield 4","3210ad2cf4879d11b566596c285974ce","battlefield 4","https://www.exito.com/images/products/215/MP00950000000215/SKUMP00950000215_md_a.jpg","Videojuego Battlefield 4 para PS4|exito.com","SONY","94000.0","150000.0"
14,"/products/MP00950000000219/Videojuego+Bioshock+Collection+para+PS4","Bioshock Collection","f2185828b7f6eb84506bd323ffd37fff","bioshock collection","https://www.exito.com/images/products/219/MP00950000000219/SKUMP00950000219_md_a.jpg","Videojuego Bioshock Collection para PS4|exito.com","SONY","119900.0","149900.0"
15,"/products/MP00950000000221/Videojuego+Call+Of+Dutty+Infinity+Warfare+para+PS4","Call Of Dutty Infinity Warfare","b9c77012ab8ec69f0da012348f1f11d6","call of dutty infinity warfare","https://www.exito.com/images/products/221/MP00950000000221/SKUMP00950000221_md_a.jpg","Videojuego Call Of Dutty Infinity Warfare para PS4|exito.com","SONY","89000.0","200000.0"
16,"/products/MP00950000000232/Videojuego+Elder+Scroll+V+Skyrim+para+PS4","Elder Scroll V Skyrim","c8609b8566394602fea62e92c7a8756a","elder scroll v skyrim","https://www.exito.com/images/products/232/MP00950000000232/SKUMP00950000232_md_a.jpg","Videojuego Elder Scroll V Skyrim para PS4|exito.com","SONY","161900.0","250000.0"
17,"/products/MP00950000000234/Videojuego+Fallout+4+para+PS4","Fallout 4","2a28eccf679c3d7922b351023b03a983","fallout 4","https://www.exito.com/images/products/234/MP00950000000234/SKUMP00950000234_md_a.jpg","Videojuego Fallout 4 para PS4|exito.com","SONY","88900.0","130000.0"
18,"/products/MP00950000000243/Videojuego+God+Of+War+para+PS4","God Of War","5ef78f6c9a3d7516140a13b570ebb884","god of war","https://www.exito.com/images/products/243/MP00950000000243/SKUMP00950000243_md_a.jpg","Videojuego God Of War para PS4|exito.com","SONY","99900.0","150000.0"
19,"/products/MP00950000000258/Videojuego+Little+Big+planet+3+para+PS4","Little Big planet 3","9071bfb4fc41b82aeb5836483e78b0a6","little big planet 3","https://www.exito.com/images/products/258/MP00950000000258/SKUMP00950000258_md_a.jpg","Videojuego Little Big planet 3 para PS4|exito.com","SONY","89900.0","140000.0"
20,"/products/MP00950000000265/Videojuego+Minecraft+para+PS4","Minecraft","98eb470b2b60482e259d28648895d9e1","minecraft","https://www.exito.com/images/products/265/MP00950000000265/SKUMP00950000265_md_a.jpg","Videojuego Minecraft para PS4|exito.com","SONY","97900.0","149900.0"
21,"/products/MP00950000000268/Videojuego+Mortal+Kombat+XL+para+PS4","Mortal Kombat XL","410c0b35e348dde97f493e4b467be641","mortal kombat xl","https://www.exito.com/images/products/268/MP00950000000268/SKUMP00950000268_md_a.jpg","Videojuego Mortal Kombat XL para PS4|exito.com","SONY","112900.0","170000.0"
22,"/products/MP00950000000303/Videojuego+The+Elder+Scrolls+para+PS4","The Elder Scrolls","1d157b7a24a6f4205548fdddd9b4e01b","the elder scrolls","https://www.exito.com/images/products/303/MP00950000000303/SKUMP00950000303_md_a.jpg","Videojuego The Elder Scrolls para PS4|exito.com","SONY","69900.0","130000.0"
23,"/products/MP00950000000380/Videojuego+Injustice+2+para+PS4","Injustice 2","72fc9ca4a4b701a38d8204206d6abf68","injustice 2","https://www.exito.com/images/products/380/MP00950000000380/SKUMP00950000380_md_a.jpg","Videojuego Injustice 2 para PS4|exito.com","SONY","139900.0","219900.0"
24,"/products/MP00950000000445/Videojuego+Dios+de+la+guerra+ascensión+para+PS3","Dios de la guerra ascensión para PS3","5fd88cd931e66f1e16aca5397b6fc9f6","dios de la guerra ascensi�n para ps3","https://www.exito.com/images/products/445/MP00950000000445/SKUMP00950000445_md_a.jpg","Videojuego Dios de la guerra ascensión para PS3|exito.com","SONY","69900.0","120000.0"
